,Timestamp,Open,High,Low,Close,Date,%K,%D,Slow %K,Slow %D,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv
73,2024-05-29 01:04:01,67688.24,67688.24,67686.48,67686.48,2024-05-29 01:04:01,23.14285714284259,48.619047619043464,48.619047619043464,72.92857142857098,False,True,Buy,67699.36799999999,67688.495,56.531395114073604,4,0,-13.549999999988358,0.0,False,False,-306.2000000005355,-6600.000000034925
74,2024-05-29 01:04:02,67686.49,67686.49,67686.49,67686.49,2024-05-29 01:04:02,23.17857142859014,27.083333333333332,27.083333333333332,49.98015873015758,False,False,Hold,67695.066,67688.8195,56.55158489804511,5,1,-15.299999999988358,-1.75,False,True,-430.199999998149,-12399.999999761349
75,2024-05-29 01:04:03,67686.48,67686.49,67686.48,67686.49,2024-05-29 01:04:03,23.15112540196236,23.157517991131698,23.157517991131698,32.95329964783617,False,False,Hold,67690.764,67689.14349999999,56.55158489804511,6,2,-15.309999999997672,-1.7600000000093132,False,True,-430.2000000010594,-2.9103830456733704e-07
76,2024-05-29 01:04:04,67686.48,67686.49,67686.48,67686.49,2024-05-29 01:04:04,15.746180963588946,20.691959264713816,20.691959264713816,23.644270196392952,False,False,Hold,67687.146,67689.46800000001,55.93775593775757,7,3,-15.309999999997672,-1.7600000000093132,False,False,-361.8000000002212,6840.000000083819
77,2024-05-29 01:04:05,67686.48,67686.49,67686.48,67686.49,2024-05-29 01:04:05,12.632006498786232,17.176437621445846,17.176437621445846,20.341971625763794,False,False,Hold,67686.48800000001,67689.7925,53.36944745395449,8,4,-15.309999999997672,-1.7600000000093132,False,True,-65.79999999812571,29600.000000209548
78,2024-05-29 01:04:06,67686.49,67686.49,67686.48,67686.49,2024-05-29 01:04:06,12.596505485598323,13.658230982657834,13.658230982657834,17.17554262293917,False,False,Hold,67686.49,67690.1165,53.36944745395449,9,5,-15.299999999988358,-1.75,True,False,0.1999999993131496,6599.999999743886
79,2024-05-29 01:04:07,67686.49,67686.49,67686.49,67686.49,2024-05-29 01:04:07,0.04646840153025712,8.424993461971605,8.424993461971605,13.0865540220251,False,False,Hold,67686.49,67690.4405,48.182037081634626,10,6,-15.299999999988358,-1.75,True,True,0.0,-19.99999993131496
80,2024-05-29 01:04:08,67686.49,67689.87,67686.48,67689.87,2024-05-29 01:04:08,15.752788104083532,9.465253997070704,9.465253997070704,10.516159480566719,False,False,Hold,67687.166,67690.93400000001,44.69288100744758,11,7,-15.299999999988358,-1.75,False,False,67.59999999922002,6759.999999922002
81,2024-05-29 01:04:09,67689.87,67694.0,67689.87,67693.99,2024-05-29 01:04:09,34.897769516765294,16.89900867412636,16.89900867412636,11.596418711056229,False,False,Hold,67688.666,67691.63350000001,38.93303064701479,12,8,-11.919999999998254,1.6299999999901047,True,False,150.0,8240.000000077998
82,2024-05-29 01:04:10,67693.99,67694.0,67693.99,67694.0,2024-05-29 01:04:10,34.944237918227934,28.531598513025585,28.531598513025585,18.29862039474089,False,False,Hold,67690.16799999999,67692.299,38.95035460994272,13,9,-7.7999999999883585,5.75,False,False,150.19999999931315,19.99999993131496
83,2024-05-29 01:04:11,67694.0,67696.0,67694.0,67696.0,2024-05-29 01:04:11,44.23791821562394,38.02664188353906,38.02664188353906,27.819083023563675,False,False,Hold,67692.06999999999,67692.93000000001,30.67010309278858,14,10,-7.789999999993597,5.759999999994761,True,True,190.20000000018626,4000.0000000873115
84,2024-05-29 01:04:12,67695.99,67696.0,67695.99,67696.0,2024-05-29 01:04:12,44.23791821562394,41.1400247831586,41.1400247831586,35.89942172657442,False,False,Hold,67693.972,67693.561,30.67010309278858,15,11,-5.7999999999883585,7.75,False,False,190.20000000018626,0.0
85,2024-05-29 01:04:13,67696.0,67701.01,67696.0,67701.01,2024-05-29 01:04:13,80.2762430938904,56.25069317504609,56.25069317504609,45.13911994724791,True,False,Sell,67696.2,67694.2115,44.5295740116358,0,12,0.0,7.759999999994761,False,False,222.8000000002794,3260.000000009313
86,2024-05-29 01:04:14,67701.0,67701.0,67701.0,67701.0,2024-05-29 01:04:14,99.93117687546619,74.81511272832684,74.81511272832684,57.40194356217719,False,True,Buy,67697.602,67694.5615,81.44618834081659,1,0,5.0,0.0,False,False,140.20000000018626,-8260.000000009313
87,2024-05-29 01:04:15,67701.0,67709.34,67701.0,67709.34,2024-05-29 01:04:15,100.0,93.40247332311885,93.40247332311885,74.82275974216394,False,False,Hold,67700.67,67694.939,99.95629370631659,2,1,5.0,0.0,False,False,306.79999999993015,16659.99999997439
88,2024-05-29 01:04:16,67709.34,67709.34,67709.34,67709.34,2024-05-29 01:04:16,100.0,99.97705895848873,99.97705895848873,89.39821500331148,False,False,Hold,67703.338,67695.3165,99.95627459556287,3,2,13.339999999996508,8.339999999996508,False,False,266.8000000005122,-3999.9999999417923
89,2024-05-29 01:04:17,67709.4,67711.02,67709.4,67711.02,2024-05-29 01:04:17,100.0,100.0,100.0,97.79317742720252,False,False,Hold,67706.342,67695.4675,99.95926680246531,4,3,13.39999999999418,8.39999999999418,False,False,300.4000000000815,3359.9999999569263
90,2024-05-29 01:04:18,67711.02,67711.03,67711.02,67711.03,2024-05-29 01:04:18,100.0,100.0,100.0,99.99235298616293,False,False,Hold,67708.34599999999,67695.619,99.95928338764345,5,4,15.020000000004075,10.020000000004075,False,True,200.3999999986263,-10000.00000014552
91,2024-05-29 01:04:19,67711.03,67714.0,67711.02,67714.0,2024-05-29 01:04:19,100.0,100.0,100.0,100.0,False,False,Hold,67710.946,67696.09,99.96367598984828,6,5,15.029999999998836,10.029999999998836,True,True,260.0000000005821,5960.000000195578
92,2024-05-29 01:04:20,67714.31,67720.0,67714.31,67720.0,2024-05-29 01:04:20,100.0,100.0,100.0,100.0,False,False,Hold,67713.07800000001,67697.601,99.97017596184084,7,6,18.30999999999767,13.309999999997672,True,False,213.200000001234,-4679.999999934807
93,2024-05-29 01:04:21,67719.99,67720.17,67719.99,67720.17,2024-05-29 01:04:21,100.0,100.0,100.0,100.0,True,False,Sell,67715.24399999999,67699.2855,99.97032640951107,0,7,0.0,18.99000000000524,False,False,216.5999999982887,339.99999970546924
94,2024-05-29 01:04:22,67720.17,67720.17,67720.16,67720.16,2024-05-29 01:04:22,99.96699669968726,99.98899889989575,99.98899889989575,99.99633296663193,False,True,Buy,67717.072,67700.969,99.9340586878024,1,0,0.17999999999301508,0.0,False,False,182.80000000086147,-3379.999999742722
